,model,year,price,transmission,mileage,engine size,mileage2,fuel type2,engine size2
1066, C Class,2017,17973,Semi-Auto,69791,0,74.3,Hybrid,2.1
1067, C Class,2016,16991,Semi-Auto,28500,20,64.2,Diesel,2.1
1068, C Class,2019,38596,Semi-Auto,2055,145,30.4,Petrol,3.0
1069, C Class,2019,28382,Automatic,12585,145,64.2,Diesel,2.0
1070, C Class,2019,24626,Automatic,14923,145,58.9,Diesel,2.0
1071, C Class,2019,28896,Automatic,5044,145,61.4,Diesel,2.0
1072, C Class,2018,23500,Automatic,4368,145,44.1,Petrol,1.5
1073, C Class,2019,26995,Automatic,12725,145,45.6,Petrol,1.5
1074, C Class,2018,21500,Automatic,15922,145,60.1,Diesel,2.1
1075, C Class,2018,24750,Automatic,14788,145,46.3,Petrol,1.5
1076, C Class,2019,31650,Automatic,7546,145,44.1,Petrol,2.0
1077, C Class,2017,17750,Automatic,15500,20,65.7,Diesel,2.1
1078, C Class,2016,19995,Semi-Auto,17560,145,49.6,Petrol,2.0
1079, C Class,2019,26500,Automatic,6902,145,45.6,Petrol,1.5
1080, C Class,2017,31692,Automatic,38545,145,35.3,Petrol,3.0
1081, C Class,2016,22999,Semi-Auto,26673,20,67.3,Diesel,2.1
1082, C Class,2018,26995,Semi-Auto,11209,145,56.5,Diesel,2.0
1083, C Class,2017,22995,Automatic,20362,145,65.7,Diesel,2.1
1084, C Class,2017,23995,Automatic,14952,145,42.2,Petrol,2.0
1085, C Class,2017,20495,Semi-Auto,12505,125,60.1,Diesel,2.1
1086, C Class,2016,16495,Semi-Auto,28304,30,65.7,Diesel,1.6
1087, C Class,2017,20495,Semi-Auto,13400,125,51.4,Petrol,2.0
1088, C Class,2019,31276,Automatic,5999,145,44.1,Petrol,2.0
1089, C Class,2018,27832,Automatic,11847,145,57.7,Diesel,2.0
1090, C Class,2017,16202,Automatic,67665,145,64.2,Diesel,2.1
1091, C Class,2017,16442,Automatic,58687,145,64.2,Diesel,2.1
1092, C Class,2019,31650,Automatic,4216,145,44.1,Petrol,2.0
1093, C Class,2016,21750,Automatic,15664,125,51.4,Petrol,2.0
1094, C Class,2013,8991,Semi-Auto,47334,30,64.2,Diesel,2.1
1095, C Class,2017,16491,Semi-Auto,32434,150,64.2,Diesel,2.1
1096, C Class,2019,25695,Semi-Auto,2000,145,46.3,Petrol,1.5
1097, C Class,2020,29999,Semi-Auto,100,145,53.3,Diesel,2.0
1098, C Class,2018,26690,Automatic,16132,145,57.7,Diesel,2.0
1099, C Class,2019,25990,Automatic,13275,145,58.9,Diesel,2.0
1100, C Class,2015,15849,Semi-Auto,44012,30,64.2,Diesel,2.1
1101, C Class,2016,17999,Semi-Auto,18246,125,51.4,Petrol,2.0
1102, C Class,2018,19998,Semi-Auto,11468,145,41.5,Petrol,2.0
1103, C Class,2015,15990,Automatic,43120,30,64.2,Diesel,2.1
1104, C Class,2018,21960,Semi-Auto,31639,145,64.2,Diesel,2.0
1105, C Class,2016,16960,Automatic,21821,20,64.2,Diesel,2.1
1106, C Class,2015,17441,Semi-Auto,49910,125,60.1,Diesel,2.1
1107, C Class,2017,31741,Semi-Auto,13500,145,35.3,Petrol,3.0
1108, C Class,2013,9991,Semi-Auto,66419,165,44.1,Petrol,1.6
1109, C Class,2019,25122,Semi-Auto,13852,145,61.4,Diesel,2.0
1110, C Class,2017,19762,Automatic,36047,145,61.4,Diesel,2.1
1111, C Class,2018,23456,Automatic,26723,145,65.7,Diesel,2.1
1112, C Class,2019,67940,Automatic,237,145,28.0,Petrol,4.0
